,Title,Content_,Date,QA1,QA2,QA3
0,"                 شبکه ""فرانس 24"": آمریکا، 3 خواسته اصلی ایران را رد کرد             ",خبرنگار شبکه فرانس 24 ادامه داد: این اختلافات اساسی هستند و منجر به ادامه مذاکرات غیرمستقیم میان ایران و امریکا با واسطه اتحادیه اروپا خواهد شد.,۰۳-۰۶-۱۴۰۱,"سوال: اختلافات مذکور بین ایران و امریکا در چه زمینه‌ای است؟
پاسخ: اختلافات اساسی بین ایران و امریکا به نظر می‌رسد در زمینه برنامه هسته‌ای ایران و انتقاد امریکا نسبت به آن وجود دارد.","سوال: چگونه مذاکرات بین ایران و امریکا صورت می‌گیرند؟
پاسخ: مذاکرات بین ایران و امریکا همچنان به صورت غیرمستقیم و از طریق اتحادیه اروپا انجام می‌شود.","سوال: چه نقشی برای اتحادیه اروپا در مذاکرات بین ایران و امریکا تعیین شده است؟
پاسخ: اتحادیه اروپا به عنوان واسطه در مذاکرات میان ایران و امریکا به کار گرفته شده است و نقش مهمی در رسیدن به توافق نهایی دارد."
1,                 دانشمندان می گویند: برای دیگران خرج کنید تا خوشحال تر باشید!             ,دانشمندان نتیجه گرفته اند: این دسته از مطالعات به شکل گیری مجموعه تحقیقاتی رو به رشدی کمک کرده است که نشان می‌ دهد هزینه‌ کردن برای دیگران، در یک فرد با شرایط روانی و رفتاری نرمال احساس رضایت بیشتری ایجاد می کند در مقایسه با اینکه صرفا برای خودش  هزینه کند. ,۰۳-۰۶-۱۴۰۱,"سوال: دسته ای از مطالعات به چه صورت به شکل گیری مجموعه تحقیقاتی رو به رشدی کمک کرده است؟
پاسخ: دسته ای از مطالعات به شکل گیری مجموعه تحقیقاتی رو به رشدی کمک کرده است که نشان می‌ دهد هزینه کردن برای دیگران، در یک فرد با شرایط روانی و رفتاری نرمال احساس رضایت بیشتری ایجاد می کند در مقایسه با اینکه صرفا برای خودش هزینه کند.","سوال: هزینه کردن برای دیگران در چه صورتی در فرد با شرایط روانی و رفتاری نرمال تاثیر مثبتی دارد؟
پاسخ: هزینه کردن برای دیگران در فرد با شرایط روانی و رفتاری نرمال، احساس رضایت بیشتری را ایجاد می کند.","سوال: در مقایسه با صرفا هزینه کردن برای خودش، چطور است که هزینه کردن برای دیگران در فرد با شرایط روانی و رفتاری نرمال احساس رضایت بیشتری ایجاد می کند؟
پاسخ: در مقایسه با صرفا هزینه کردن برای خودش، هزینه کردن برای دیگران در فرد با شرایط روانی و رفتاری نرمال، احساس رضایت بیشتری را ایجاد می کند."
2,                 دچار سندرم چوپان بلوط کُش شده‌ایم! (+فیلم)             ,دل‌مان برای بلوط زیبا سوخت. از بی‌رحمی چوپان گله کردیم و با خود گفتیم «ای بی‌انصافِ ناجوانمرد». اما وقتی درتنهایی کلاه‌مان را قاضی کنیم، پی خواهیم برد که بسیاری از دست کمی از این چوپان نداریم چه بسا برخی‌مان بدتر از او هستیم.کمبودها را به یاد بیاورید؛ دوان دوان به سمت خرید اجناس می‌رفتیم. پوشک کم بود و بسیاری از خانواده‌ها در به در یک پوشک از این داروخانه به آن داروخانه می‌رفتند تا فرزند دلبندشان سختی نکشد. همان زمان برخی در پستو خانه‌شان به اندازه چند داروخانه پوشک داشتند.خودمانیم، ما هم در زندگی‌مان بلوط‌های زیادی را لخت کرده‌ایم با این تفاوت که کسی نبوده از ما فیلم بگیرد. ما هم مثل چوپان بی‌رحم بودیم اما رسوا نشدیم.خدایی ناکرده فکر نکنید که این نوشتار در دفاع از چوپان است و نویسنده می‌خواهد بگوید او این کار را کرد چون دیگران هم می‌کنند! نه، می‌خواهم وقتی او را محکوم و در فضای مجازی یا جمع خانواده، شروع به نصیحت کردن می‌کنیم، بدانیم که ما هم در زندگی‌مان پیش آمده که دست به چنین کارهایی بزنیم. جوالدوز را ابتدا به خودمان بزنیم و بعد به تن چوپان این قصه کنیم.مسئولانی که روی صندلی‌های گرم و نرم خود در مجلس نشسته و شعار می‌دهند و می‌گویند بدون برجام یا بدون رابطه با جهان می‌توانیم روزگار سپری کنیم، فیلم درخت بلوط و چوپان را ببیند.شرایط بد اقتصادی و کوچک شدن سفره مردم، باعث می‌شود تا رحم و وجدان در کشور دچار مرگ تدریجی شود. از خود بپرسید که چرا در این مدت یعنی بعد از خروج آمریکا از برجام و وخیم شدن حال اقتصاد کشور، میزان دزدی به ویژه زوگیری افزایش پیدا کرده است؟ چرا سرقت اولی‌ها رشد پیدا کرده‌اند؟چرا مردم برای جبران نداری خود، دست درجیب مردم می‌کنند؟شعار دادن آسان‌ترین کار دنیاست اما بهتر است در کنار این شعار دادن، هزینه آن را هم ببیند. فکر نکنید تورم و گرانی فقط روی سفره مردم اثر می‌گذارد، خیر. بعد از کوچک شدن سفره قطعا سبک زندگی و فرهنگ جامعه دچار تغییر می‌شود و شاهد بروز ضدهنجارهایی هستیم که کم کم تبدیل به هنجار می‌شود.وقتی اعضای یک خانواده متفق القول می‌گویند احتیاجی نیست به همسایه ندارمان کمک کنیم و«چراغی که به خانه رواست به مسجد حرام است» می‌شود ورد زبان‌شان، باید احساس خطر کرد.آن زمان است که می‌شود گفت همه ما دچار سندرم چوپان بلوط کش شده‌ایم!,۰۳-۰۶-۱۴۰۱,"سوال: چه واکنشی نسبت به رفتار چوپان در داستان دارید؟
پاسخ: من فکر می‌کنم رفتار چوپان بی‌رحم و ناعادلانه بود و به طور کلی نمی‌توان آن را تحمل کرد. اما باید در نظر داشت که شاید ما هم در برخی موارد زندگیمان با تداوم این رفتارها ساختار مناسبی را برای این چوپان فراهم کردیم.","سوال: چرا نویسنده می‌گوید که ما هم ممکن است برخی از این رفتارها را انجام داده باشیم؟
پاسخ: نویسنده با اشاره به این موضوع می‌خواهد بگوید که همه انسان‌ها در طول زندگی خود به برخی از این اعمال ظالمانه گرایش داشته‌اند، حتی اگر آن را به شکل عمومی مطرح نکرده باشند. او همچنین ما را به خودبینی دعوت می‌کند و باور دارد که همه ما از رفتارهایی که به شدت محکوم می‌کنیم، دچار آسیب روانی شده‌ایم.","سوال: از نظر نویسنده، چه تاثیری بر حال اقتصادی و اجتماعی کشور دارد؟
پاسخ: نویسنده معتقد است که شرایط اقتصادی بد، که منجر به کاهش سطح زندگی مردم می‌شود، باعث مرگ تدریجی رحم و وجدان در جامعه می‌شود. او همچنین معتقد است که شاهد رشد افراطی و عصبانیت در جامعه هستیم که می‌تواند منجر به رشد جرم و جنایت گردد. بنابراین، او به مسئولان توصیه می‌کند که بجای صرفاً شعار دادن، باید هزینه و خطرات همراه با این رفتارها را نیز مد نظر قرار دهند."
3,                 ژوزف گیوتین، خیرخواهی که بدنام شد             ,تجهیزات نظامی (مسعود اسنایپر)]گیوتین ابتدا برای مدت کوتاهی استاد ادبیات دانشگاه بوردو شد؛ اما پس از آن به پاریس رفت و به مطالعهٔ پزشکی پرداخت. سپس در این شهر، به پزشکی فعال تبدیل شد. در سال ۱۷۸۸، وی اعلامیه‌ای نگاشت با عنوان «عریضهٔ شهروندان زندۀ پاریس». در این اعلامیه خواستار آن شد که گروه‌های غیراشرافی نمایندگان بیشتری در هیئت قانون‌گذاری داشته باشند. این هیئت «مجلس طبقاتی» نامیده می‌شد. سال بعد، عمدتاً به‌علت توجهی که در نتیجهٔ اعلامیهٔ مذکور مزبور نصیب وی شد، گیوتین در شمار نمایندگان مجلس قرار گرفت و زندگی سیاسی‌اش را آغاز کرد. وی در مقام سیاست‌مدار، بیشتر فعالیت خود را بر اصلاحات پزشکی متمرکز کرد. او همچنین از مخالفان مجازات مرگ بود و شاید، چون دریافته بود که امحای یک‌بارۀ این نوع مجازات نامحتمل است، نیروی خود را برای انسانی‌ترکردن و عادلانه‌ترکردن آن صرف کرد. در آن زمان در فرانسه تنها اشراف‌زادگان محکوم به مرگ از این امتیاز برخوردار بودند که گردنشان را با شمشیر بزنند درحالیکه اغلب مجرمان به دار آویخته می‌شدند یا محکوم به مرگ با گردونهٔ استخوان‌شکن می‌گشتند.در دهم اکتبر ۱۷۸۹، گیوتین طرحی را به دولت فرانسه پیشنهاد و در آن توصیه کرد نوعی دستگاه گردن‌زنی، به ابزار رسمی برای اعمال مجازات مرگ تبدیل شود. در بدو امر، پیشنهاد وی توجه اندکی را به خود جلب کرد، اما در دسامبر همان سال، گیوتین در مجلس ملی سخنرانی‌ای کرد که سبب شد هم خود وی و هم ایده‌اش شهرتی بین‌المللی یابد. درحالی‌که شور و هیجان بر او غلبه کرده بود، به مخاطبانش گفت: «اکنون من با این دستگاه، گردن شما را در طرفةالعینی می‌زنم؛ ولی اصلاً آن را احساس نمی‌کنید.» این همان لحظه‌ای بود که نام گیوتین تا ابد، با گردن‌زنی مترادف می‌شد. علی‌رغم آنکه سخنان گیوتین در نزد عموم به تمسخر گرفته شد، درنهایت تمام پیشنهاد‌های او تصویب شدند. در سوم ژوئن ۱۷۹۱، مجلس ملی دستوری صادر کرد مبنی بر اینکه دستگاه گردن‌زنیِ مزبور تنها ابزار برای اعدام قانونی مجرمان باشد و سیاست‌مداری به نام «پی‌یر لوئی رودره» مسئول نظارت بر اجرای آن شد. «رودره» در دهم مارس ۱۷۹۲ با گیوتین تماس گرفت و از او خواست که خود وارد عمل شود؛ اما هیچ سندی مبنی‌بر اینکه دکتر گیوتین این درخواست را پذیرفته است یا نه، وجود ندارد. رودره در آغاز تقلای زیادی کرد تا افرادی را برای این کار استخدام کند؛ چراکه کسی حاضر به پذیرفتن همکاری در چنین پروژه‌ای نبود.سرانجام رودره با فردی آلمانی‌تبار به نام «توبیاس اشمیت» به توافق رسید تا گیتوتین را به کار اندازد. در ابتدا دستگاه را با بریدن سر گوسفند، گوساله و اجساد انسان آزمودند. نخستین انسانی که قربانی گیوتین شد، «نیکلاس ژاک پلتیه» بود که در سال ۱۷۹۲ گردن زده شد. از این زمان، گیوتین تا دو سدۀ دیگر رایج بود، یعنی تا هنگامی که مجازات مرگ در فرانسه، در سال ۱۹۸۱ ملغی شد. به نوشتهٔ «چمبرز ادینبورگ جرنال»، دکتر گیوتین تا واپسین لحظهٔ حیات به‌سبب مشارکتش در ساخت این دستگاهِ آدم‌کشی سخت متأسف بود. بر خلاف این افسانهٔ رایج که گیوتین خود با گیوتین گردن زده شد، وی در سال ۱۸۱۴ و در ۷۵سالگی به علل طبیعی درگذشت.,۰۳-۰۶-۱۴۰۱,"سوال: گیوتین به چه دلیل به مطالعهٔ پزشکی پرداخت؟
پاسخ: گیوتین به پزشکی پرداخت زیرا به پزشکی فعال تبدیل شد و فعالیت خود را بر اصلاحات پزشکی متمرکز کرد.","سوال: چگونه گیوتین در حوزه سیاست فعالیت خود را آغاز کرد؟
پاسخ: گیوتین در حوزه سیاست فعالیت خود را آغاز کرد زیرا در سال ۱۷۸۸، در اعلامیهٔ شهروندان زندۀ پاریس خواستار آن شد که گروه‌های غیراشرافی نمایندگان بیشتری در هیئت قانون‌گذاری داشته باشند و درنتیجه به عنوان نماینده در مجلس قرار گرفت.","سوال: چرا گیوتین به عنوان یک مخالف مجازات مرگ معروف بود؟
پاسخ: گیوتین به علت اعتقاد به عدالت و انسانی‌ترکردن مجازات مرگ، مخالف مجازات مرگ بود و نیروی خود را صرف این امر کرد."
4,                 سردار کوثری نماینده مجلس: اگر توافق نشود هیچ اتفاقی نمی‌افتد چون کار خودمان را انجام می‌دهیم /هیچ‌گاه سپاه در مذاکرات دخالت نکرده /  تیم مذاکره‌کننده ما نباید فریب آمریکایی‌ها را بخورد             ,نماینده مردم تهران در مجلس در مورد برداشتن تحریم های سپاه بعد از توافق نیز گفت: اصلا هیچگاه سپاه در مورد مذاکرات دخالتی نکرده است و آنها از آن طرف این را مطرح می کنند که بگویند سپاه مانع این عدم توافق است در صورتیکه این دروغ محض است. مجلس اعتقاد دارد که باید تمامی تحریم ها برداشته شود.,۰۳-۰۶-۱۴۰۱,"سوال: نماینده مردم تهران در مجلس برداشتن تحریم های سپاه را چگونه توجیه می‌کند؟
پاسخ: نماینده مردم تهران در مجلس اعتقاد دارد که سپاه در مذاکرات دخالتی ننموده است و هیچگونه مانعی برای توافق وجود ندارد، بنابراین باید تمامی تحریم ها برداشته شوند.","سوال: نماینده مردم تهران در مجلس چه تعبیری از ادعای سپاه در مورد مانع شدن توافق دارد؟
پاسخ: نماینده مردم تهران در مجلس ادعای سپاه در مورد مانع شدن توافق را دروغ محض می‌داند و باور دارد که سپاه هیچ تأثیری در این مورد نداشته است.","سوال: چه دیدگاهی در مجلس در مورد برداشتن تمامی تحریم ها وجود دارد؟
پاسخ: در مجلس، عقیده وجود دارد که باید تمامی تحریم ها برداشته شوند و ضمن حمایت از این قضیه، به این باور هستند که هیچ مانعی برای برداشتن تحریم ها وجود ندارد."
5,                 جاذبه های دیدنی کشور ایتالیا             ,کلیسای سانتا ماریا یا مریم مقدس در شهر میلان واقع شده است و نمونه بارز معماری رنسانس به شمار می رود. نقاشی دیواری معروف شام آخر که توسط لئوناردو داوینچی کشیده شده است گردشگران زیادی را جذب این کلیسا کرده است.,۰۳-۰۶-۱۴۰۱,"سوال: کلیسای سانتا ماریا در کدام شهر قرار دارد؟
پاسخ: کلیسای سانتا ماریا در شهر میلان واقع شده است.","سوال: این کلیسا به چه معماری تعلق دارد؟
پاسخ: کلیسای سانتا ماریا به معماری رنسانس تعلق دارد.","سوال: اثر هنری مشهوری که در این کلیسا قابل مشاهده است چیست؟
پاسخ: نقاشی دیواری شام آخر اثر لئوناردو داوینچی است که در این کلیسا قابل مشاهده است."
6,                 کیهان؛ عصبانی از احیای برجام‌، فحش به رسانه‌های مستقل داخلی!             ,    به بیان دیگر در واقع از احیای برجام عصبانی است اما خشم و غیظ و غضب خود را بر سر دیگری می‌ریزد! مشهور است که ملا نصر‌الدین شبی به خانه آمد و زن و فرزند منتظر شوهر و پدر را که سفرۀ شام گسترانیده بودند، بی‌دلیل زیر کتک گرفت. زن گفت: چرا چنین می‌کنی؟! گفت: چون پولم را گم کرده‌ام. زن گفت: خوب! ما چه گناهی داریم؟ نصرالدین پاسخ داد: پولم را در تاریکی گم کرده‌ام و اینجا روشن است. در خیابان که نمی‌توانستم یقۀ زن و بچۀ مردم را بگیرم آمدم خانه تا در روشنایی یقۀ زن و بچۀ خودم را بگیرم! (این حکایت‌نویسی در پایان یادداشت هم به سبک آقای شریعتمداری در ستون گفتم / گفت او که اگر چه فحش می‌دهد اما فوت و فن روزنامه‌نگاری را بلد است!),۰۳-۰۶-۱۴۰۱,"سوال: چه دیدگاهی نصرالدین شبی نسبت به خشم و غیظ خود دارد؟
پاسخ: نصرالدین شبی معتقد است که خشم و غیظش نسبت به احیای برجام است، اما خشم خود را به صورت بی‌دلیل و بدون دلیلی بر سر دیگری می‌ریزد.","سوال: چرا نصرالدین شبی زن و فرزند خود را زیر کتک گرفت؟
پاسخ: نصرالدین شبی زن و فرزند خود را زیر کتک گرفت، به دلیل اینکه پول خود را گم کرده بود و در آن دیدگاه، خانه همانجا روشن است و می‌توانست در آنجا یقۀ خود را بگیرد.","سوال: چرا نصرالدین شبی در تاریکی پول خود را گم کرده بود؟
پاسخ: نصرالدین شبی در تاریکی پول خود را گم کرده بود، اما در خیابان نمی‌توانست به دلیل تاریکی، یقۀ زن و بچه‌ها را بگیرد، بنابراین به خانه آمد تا در روشنایی یقۀ خود را بگیرد."
7,                 کشف اختلاس در خراسان جنوبی / واریز به حساب آشنای کارمند بانک             ,سرهنگ بخشی افزود: از شهروندان می‌خواهیم به منظور مشارکت در این امر هرگونه اخبار و اطلاعات از فعالیت‌ها و تخلفات اقتصادی و قاچاق را از طریق شماره تلفن ۱۱۰ به پلیس اطلاع دهند تا در اسرع وقت با متخلفان برخورد قانونی صورت گیرد.,۰۳-۰۶-۱۴۰۱,"سوال: به چه شماره تلفنی می توان شکایت از فعالیت های اقتصادی غیرقانونی را به پلیس اطلاع داد؟
پاسخ: می توانید شکایت خود را از فعالیت های اقتصادی غیرقانونی را از طریق شماره تلفن ۱۱۰ به پلیس اطلاع دهید.","سوال: چرا از شهروندان خواسته می شود اخبار و اطلاعات از فعالیت های اقتصادی و تخلفات را به پلیس اطلاع دهند؟
پاسخ: به شهروندان خواسته شده است که اخبار و اطلاعات از فعالیت های اقتصادی و تخلفات را به پلیس اطلاع دهند به منظور برخورد قانونی اسرع متخلفان.","سوال: چه اقداماتی توسط پلیس قرار است در صورت دریافت اطلاعات اقتصادی وقاچاقی صورت بگیرد؟
پاسخ: پلیس در صورت دریافت اطلاعات اقتصادی و قاچاقی، قرار است با متخلفان برخورد قانونی صورت دهد تا این تخلفات متوقف شوند."
8,                 امام جمعه کرمانشاه: مقام معظم رهبری، پشت آمریکا و استکبار جهانی را به لرزه درآورده اند             ,آیت الله علما ابراز امیدواری کرد: دانشجویان، مسلمان از دانشگاه خارج شوند و با ایمان و اعتقاد فارغ التحصیل شوند تا عزت فردای خود را حفظ کنند، چون اگر دانشجویان عزیز ما به اصل فطرت خود برگردند و به حقیقت خود بازگردند دنیا و آخرت خود را آباد کرده اند.,۰۳-۰۶-۱۴۰۱,"سوال: چه امیدی را آیت الله علما برای دانشجویان مسلمان دارد؟
پاسخ: آیت الله علما امیدوار است که دانشجویان مسلمان بتوانند با حفظ ایمان و اعتقاد خود از دانشگاه خارج شوند و فارغ التحصیل شوند تا عزت و احترام خود را حفظ کنند.","سوال: چرا آیت الله علما بر دانشگاه و احترام به اصل فطرت تاکید می‌کند؟
پاسخ: آیت الله علما بر دانشگاه و برگشت به حقیقت خود تاکید می‌کند، چون اعتقادی دارد که اگر دانشجویان به اصل فطرت خود برگردند، علاوه بر موفقیت در دنیا، موفقیت در آخرت را نیز خواهند داشت.","سوال: چه تأثیری از حفظ ایمان و اعتقاد بر زندگی دانشجویان خواهد داشت؟
پاسخ: حفظ ایمان و اعتقاد برای دانشجویان تأثیرات بسیار زیادی خواهد داشت. آنها با حفظ ایمان و اعتقاد خود، عزت و احترام خود را حفظ می‌کنند و می‌توانند در زندگی روزمره خود تصمیم‌های صحیح‌تری بگیرند و به سعادت و موفقیت در هر دو دنیا نزدیکتر شوند."
9,                 استعفای رئیس پلیس ژاپن به دلیل کوتاهی در جلوگیری از ترور آبه             , شینزو آبه، نخست وزیر سابق ژاپن در ۱۷ تیرماه و در جریان یک گردهمایی انتخاباتی ترور شد. کوتاهی محافظان در حفاظت از جان آبه انتقادات زیادی به دنبال داشته است.,۰۳-۰۶-۱۴۰۱,"سوال: چه زمانی شینزو آبه ترور شد؟
پاسخ: شینزو آبه در تاریخ ۱۷ تیرماه ترور شد.","سوال: چه علتی باعث انتقاد محافظان محافظت از جان آبه شد؟
پاسخ: کوتاهی محافظان در حفاظت از جان آبه باعث انتقادات زیادی شده است.","سوال: شینزو آبه چه سمتی در ژاپن داشت؟
پاسخ: شینزو آبه نخست وزیر سابق ژاپن بود."
