Id,Title,Content_
0,                 شمخانی: حمله به عسلویه خنثی شد             ,به گزارش عصرایران به نقل از فارس، علی شمخانی دبیر شورای عالی امنیت ملی گفت: به نظر می‌رسد دشمنان درصدد بودند حمله پهپادی انصار‌الله یمن به پالایشگاههای آرامکو را با حمله به تاسیسات عسلویه جبران کنند که ناکام ماندند.
1,                 محدودیت‌های ترافیکی روز دوشنبه پایتخت             ,اجتماع بزرگ مردم تهران برای محکومیت اقدام آشوبگران با عنوان «حمایت از ولایت»، ‌ ساعت ۱۴:۳۰ فردا (دوشنبه) در میدان انقلاب اسلامی برگزار می شود.
2,                 ادعای نتانیاهو: ایران درحال برنامه‌ریزی برای انجام حملات جدید موشکی از عراق و یمن علیه اسرائیل است             ,نتانیاهو از ذکر جزئیات بیشتر در این زمینه خوداری کرد و تنها افزود که این روند ادامه خواهد داشت.
3,                 وزیر آموزش و پرورش: رتبه‌بندی فرهنگیان با بیش از 2 سال سابقه کار/ افزایش 200 تا 700 هزار تومانی دریافتی معلمان             ,وی درباره زمان اجرا و واریز مابه‌التفاوت‌هایی که از مهرماه تا زمان اجرای طرح به وجود می‌آید نیز گفت: عملیات مربوط به تعیین رتبه به محض ابلاغ آیین‌نامه آغاز خواهد شد. باید گروه‌هایی تشکیل و افراد بر اساس صلاحیت‌ها سنجیده شده و در رتبه‌ها قرار بگیرند. به محض آنکه رتبه‌ها تعیین شد، محاسبات مربوط به رتبه‌بندی از اول مهرماه انجام و لحاظ خواهد شد.
4,                 آیت الله جوادی آملی: امنیت داریم اما اختلاس های نجومی، کشور را فلج کرده             ,در ابتدای این دیدار رئیس سازمان عقیدتی سیاسی ناجا گزارشی از اقدامات پلیس در برخورد با آشوبگران و اغتشاشگران حوادث اخیر، خدمت معظم له ارائه نمود.
5,                 رییس بنیاد مسکن: پرداخت تسهیلات بانکی زلزله زدگان از فردا             ,رییس بنیاد مسکن انقلاب اسلامی ایران با بیان اینکه تسهیلات بانکی برای زلزله‌زدگان از فردا قابل پرداخت است، گفت: این تسهیلات با ساده‌ترین شرایط‌ و ضمانت‌های زنجیره‌ای ارائه می‌شود.به گزارش ایسنا علیرضا تابش در نشست خبری در تشریح این خبر اظهار کرد: پول حاصل از تسهیلات بانکی به حساب فرد واریز و زیر نظر بنیاد مسکن خرج شده و اقساط بر اساس پیشرفت کار آزاد می‌شود.وی با ارائه عملکردی از اقدامات بنیاد مسکن در مناطق زلزله زده آذربایجان شرقی بیان کرد: زمین لرزه ۵.۹ ریشتری این استان، بیش از ۶۰ روستا را متاثر کرد و این نوع زلزله‌ها ساختمان‌ها و سازه‌های غیرمهندسی را ویران می‌کند.وی افزود: با استفاده از تجارب مفید حوادث قبلی و کوتاه کردن دوره اسکان موقت در مناطق زلزله زده، آن را به اسکان دایم متصل کردیم.وی ادامه داد: ارائه وام بلاعوض ۱۰ میلیون تومانی برای اجاره خانه یکی از راه‌های پیشنهادی برای تامین اسکان موقت بود که تاکنون حدود ۱۰۴۰ خانوار زلزله زده در آذربایجان شرقی به این منظور ثبت نام کرده‌اند.رییس بنیاد مسکن انقلاب اسلامی ایران بیان کرد: بخشی از این وام بلاعوض پرداخت شده و بخش دوم هم به هنگام نقل مکان و پس از ارسال پیامک توسط زلزله زدگان به سامانه پیامکی بنیاد مسکن، واریز می‌شود.وی افزود: حدود ۲۳۳ اتاقک نصب شده و ۱۰۴۰ واحد نیز وام ۱۰ میلیون تومانی را دریافت کرده‌اند و مصالح لازم برای ساخت اتاقک‌های اسکان موقت دپو شده است و نگرانی از بابت آواربرداری و تجهیزات نداریم.وی اظهار کرد: نمی‌توانیم برای ترس افراد پولی بدهیم، اولویت با کسانی است که خانه‌هایشان تخریب شده است. تابش یادآور شد: بخش عمده‌ای از آواربرداری به اتمام رسیده وتاکنون ۸۰۰ الی ۹۰۰ واحد آواربرداری شده‌اند.وی گفت: بنیاد مسکن، ساخت سه هزار واحد برای اسکان دائم و دو هزار واحد دامی در روستاهای دو شهرستان میانه و سراب تقبل کرده است.وی تاکید کرد: فضای دامی در روستاها، معیشت محور بوده و همین امر نیز ایجاب می‌کند که فضای دامی در ابتدا ساخته شود و خود زلزله زدگان هم این را ترجیح می‌دهند.رییس بنیاد مسکن انقلاب اسلامی ایران خاطرنشان کرد: در مجموع ۸۰ میلیون تومان تسهیلات شامل ۴۰ میلیون وام مسکن روستایی، ۱۵میلیون وام معیشتی، ۱۰ میلیون وام بلاعوض تعمیری و معیشتی، ۱۰ میلیون وام بلاعوض اجاره و اسکان اضطراری و پنج میلیون وام بلاعوض دامی به زلزله زدگان آذربایجان شرقی اعطاء می‌شود. وی گفت: برنامه زمانبندی، دقیق و سیستم ثبت اطلاعات و اسناد را تهیه کرده‌ایم که افراد کاملا قابل شناسایی هستند و این امکان سوء استفاده برخی افراد را کم می‌کند. خودمان را برای کار کردن در شرایط آب و هوایی مناطق زلزله زده آماده کرده‌ایم.وی در ادامه خاطرنشان کرد: هیچ کسی نمی‌تواند چنین فکر کند که در حوادث این چنینی، می‌توانند بر سر مردم منت بگذارد، چرا که با مردمی روبه رو هستیم که همه چیزشان را در حادثه از دست داده‌اند.تابش گفت: امروز، بزرگ‌ترین پروژه‌های بنیاد مسکن در۲۳ استان کشور در جریان بوده و فقط اعتبار تخصیصی برای سیل، ۹ هزار میلیارد تومان است.وی در ادامه با بیان اینکه با امکانات کشور می‌توان ۲۰۰ هزار مسکن روستایی را مقاوم سازی کرد، اظهار کرد: با مقاوم سازی۲۰۰ هزار واحد، کمبود مسکن روستایی را تا سال ۱۴۰۵ پوشش می‌دهیم.
6,                 کشف مواد منفجره از مخفیگاه تروریست‌ها در سوریه (+عکس)             ,همچنین در ادامه اطلاعیه تصریح شده است: مواد منفجره کشف شده عبارتند از؛ مقادیر زیادی مواد منفجره C3 با فتیله‌های منفجر کننده٬ انواع مختلف مین‌های ضد نفر و ضد تانک با منشاء روسی٬ گلوله خمپاره، کابل، جک و مواد کمکی مشابه که برای تهیه مواد منفجره دست ساز مورد استفاده قرار می گیرد.
7,                 صعود ریوآوه با گلزنی طارمی             ,تیم فوتبال ریوآوه در حضور مهاجم ایرانی خود در دیدار مقابل آلورکا به پیروزی رسید.به گزارش ایلنا، از رقابت‌های فوتبال جام حذفی پرتغال ریوآوه میزبان آلورکا بود و به پیروزی یک بر صفر رسید.در این بازی مهدی طارمی از ابتدا در ترکیب تیمش حضور داشت و تک گل تیمش را به ثمر رساند.ریوآوه با این پیروزی راهی مرحله بعد شد.
8,                 نیسان و معرفی مدل 2020 خودرویی که نماد شاسی بلند کمیاب در بازار ایران بود! (+تصاویر)             ,مازیار دانیالی
9,                 تغییر دوباره ساعت بازی نساجی - استقلال             ,پیش از این قرار بود بازی ساعت 14:30 آغاز شود اما زمان جدید و قطعی شروع مسابقه نساجی با استقلال در جلسه امشب ساعت 15:30 اعلام شد.
